Id,Hour1,Hour2,Hour3,Lat,Lon,Posts
1,18,19,20,28.6,77.2,38
2,13,07,08,18.490,73.912,13
3,21,09,12,48.182,16.326,7
4,07,16,08,50.766,3.255,18
5,06,23,21,21.306,-157.858,4
6,02,00,17,39.000,-95.413,6
8,20,21,22,47.530,-122.032,231
10,19,04,03,47.606,-122.332,69
11,06,16,20,51.895,4.579,4
12,11,07,09,35.471,139.461,19
13,18,13,03,40.780,-73.976,16
14,16,25,25,33.780,-84.415,2
15,09,17,21,51.875,0.568,130
16,19,02,04,37.751,-122.440,214
17,14,25,25,32.783,-96.806,1
19,16,00,01,45.509,-122.446,43
20,22,19,20,35.373,-119.018,416
21,14,04,03,1.352,103.819,36
22,23,20,21,40.733,-73.987,47
23,21,13,11,51.581,0.022,5
24,19,25,25,37.787,-122.399,1
25,11,04,10,0.0,0.0,19
27,09,25,25,60.175,24.934,1
28,10,25,25,53.483,-2.266,1
29,00,13,08,52.525,13.450,34
30,00,23,04,-35.347,149.088,109
31,13,22,23,32.797,-97.245,122
32,18,20,17,39.977,-105.131,9
33,23,03,19,41.628,-73.916,3
34,02,25,25,47.658,-117.426,1
35,02,03,22,32.533,-117.016,82
36,11,06,04,35.646,139.715,42
37,17,18,00,35.044,-85.308,12
38,18,09,25,65.016,25.466,2
39,23,13,16,51.515,-0.237,5
40,14,16,25,41.392,2.168,4
41,06,19,20,34.690,134.941,121
42,17,22,09,49.600,18.149,9
43,15,16,25,47.606,-122.332,3
44,21,20,19,35.373,-119.018,10
45,20,03,18,49.265,-123.130,20
46,14,25,25,39.294,-76.609,5
48,05,25,25,40.932,-74.017,1
49,01,00,23,44.881,-93.203,166
50,20,19,18,33.870,-117.925,1026
51,19,15,25,35.467,-97.516,3
52,02,25,25,41.955,-87.870,1
53,11,20,13,59.329,18.050,17
54,10,14,18,51.408,-3.497,25
55,20,25,25,55.629,12.580,1
56,22,18,16,59.349,18.100,19
57,08,25,25,33.912,-118.337,3
58,21,14,18,28.471,-80.537,79
59,19,25,25,40.945,-81.483,3
60,17,25,25,51.030,-1.393,4
61,18,19,17,42.573,-71.410,89
62,04,02,05,39.166,-78.159,1391
64,07,06,04,35.685,139.751,65
66,20,16,25,42.277,-83.740,2
67,02,15,19,41.882,-87.631,68
68,08,25,25,1.292,103.871,3
69,20,16,18,42.880,-8.545,77
70,08,01,02,-25.274,133.775,6
72,08,25,25,0.0,0.0,1
73,21,01,05,36.134,-95.903,142
74,18,20,15,33.178,-97.103,65
75,16,18,15,28.367,-81.560,10
76,17,19,04,43.163,-87.964,8
77,17,15,11,53.480,-2.237,8
78,16,25,25,29.881,-81.324,1
79,21,25,25,40.757,-73.985,1
80,02,01,25,35.896,-78.685,3
81,15,14,19,33.909,-84.395,77
82,06,08,07,49.287,-123.118,5
83,18,11,19,14.552,121.021,30
84,13,22,14,42.686,-71.378,186
85,23,05,22,39.116,-77.216,4
86,17,22,25,37.886,-122.297,2
87,04,20,13,34.743,-86.667,39
88,15,25,25,42.363,-71.053,1
89,15,17,02,-7.249,112.750,16
91,18,15,01,36.323,-78.450,7
93,16,17,18,42.736,-84.508,452
94,03,18,20,5.880,-71.891,13
95,02,03,00,33.778,-84.372,311
96,09,08,06,36.0,138.0,22
97,00,13,02,33.748,-84.387,38
98,01,14,21,40.847,-74.450,11
99,18,17,14,36.153,-95.992,29
100,02,15,17,42.944,-71.514,10
102,22,01,25,45.540,-122.885,4
103,10,02,25,-12.461,130.841,2
104,17,01,25,38.882,-76.990,7
105,14,20,19,42.352,-71.059,8
